"","dataset","sampleID","G.check","XIST_214218_s_at_129641","XIST_221728_x_at_122150","XIST_224588_at_119311","XIST_224589_at_119310","XIST_224590_at_119309","XIST_227671_at_116233","KDM5D_206700_s_at_137012","RPS4Y1_201909_at_141801","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"2","GSE10327","GSE10327_Biomat_10","female",4.30240995618719,5.8344926981628,7.63694886942372,3.54483759374039,3.41265598837569,5.53389761190338,4.55450807954923,6.27944304883877,"male","disagree",4.91815378404528,5.416975564194,-0.498821780148715,"male","male"
"5","GSE10327","GSE10327_Biomat_13","female",4.37154056062888,5.15282752903229,7.45712655565445,3.95847827095614,3.60378623053546,5.32156182508228,4.03587994239677,5.81275339227343,"male","disagree",4.76218404483058,4.9243166673351,-0.162132622504515,"male","male"
"40","GSE10327","GSE10327_Biomat_45","male",9.2077352522873,10.0834943746046,10.3475089478441,9.1823299657174,8.88227708753565,9.97522267777579,5.1510019072851,7.16039989756124,"female","disagree",9.59147896503154,6.15570090242317,3.43577806260837,"female","female"
"141","GSE11882","GSE11882_Biomat_120","female",4.02452819767442,4.67567447674419,4.83142377906977,3.70228813953488,3.20148715116279,4.6826521511628,8.19501453488372,10.5171454651163,"male","disagree",4.3501013372093,9.35608000000001,-5.0059786627907,"male","male"
"215","GSE11882","GSE11882_Biomat_32","male",10.6382913953488,12.0175910465116,13.1308713953488,8.7411873255814,9.3253386627907,11.5212713372093,4.68361220930232,6.32662529069768,"female","disagree",11.0797813662791,5.50511875,5.57466261627905,"female","female"
"228","GSE11882","GSE11882_Biomat_44","male",10.2266228488372,11.4733030232558,12.7639609302325,8.43533575581395,9.03735593023257,10.996943255814,4.65387563953488,5.41447773255814,"female","disagree",10.6117830523256,5.03417668604651,5.57760636627909,"female","female"
"240","GSE11882","GSE11882_Biomat_55","female",3.92697691860465,5.41339523255814,5.88326889534884,3.86680325581396,3.09271331395349,4.94881622093024,8.44386726744186,10.314576627907,"male","disagree",4.43789656976745,9.37922194767443,-4.94132537790699,"male","male"
"243","GSE11882","GSE11882_Biomat_58","male",10.5697299418605,11.8948768023256,13.2994321511628,8.90439430232558,9.5339476744186,11.5478295348837,4.1266175,5.23652232558139,"female","disagree",11.0587797383721,4.6815699127907,6.3772098255814,"female","female"
"245","GSE11882","GSE11882_Biomat_6","male",10.935123255814,12.2809166860465,12.8881475,8.94522773255814,9.14158761627907,11.1924740697674,4.43845825581396,5.60456075581395,"female","disagree",11.0637986627907,5.02150950581396,6.04228915697674,"female","female"
"272","GSE11882","GSE11882_Biomat_84","female",4.09466186046512,5.44616994186047,6.48777569767442,4.10681360465116,3.11876052325581,5.10596011627907,8.85274337209302,10.617591627907,"male","disagree",4.60638686046511,9.73516750000001,-5.1287806395349,"male","male"
"305","GSE12679","GSE12679_Biomat_25","male",2.199725,3.991260625,8.3615825,2.016205,2.5487215625,3.6609359375,3.511706875,2.1056859375,"female","disagree",3.10482875,2.80869640625,0.29613234375,"female","female"
"353","GSE14333","GSE14333_Biomat_129","female",4.898699754,5.948832544,1.852529719,1.691576764,2.565026254,5.68453069,7.944922438,10.5984738,"male","disagree",3.731863004,9.271698119,-5.539835115,"male","male"
"356","GSE14333","GSE14333_Biomat_131","male",9.375526065,9.948888965,10.95608333,6.525973988,8.572645696,9.865253918,5.341164338,6.642900736,"female","disagree",9.6203899915,5.992032537,3.6283574545,"female","female"
"386","GSE14333","GSE14333_Biomat_159","female",4.585074876,4.153198018,2.235907418,4.251990696,2.76352107,3.167846833,8.010460314,12.096549,"male","disagree",3.6605224255,10.053504657,-6.3929822315,"male","male"
"407","GSE14333","GSE14333_Biomat_178","female",3.867862401,4.656579028,1.912679021,2.319535244,-0.892254014,4.566453931,7.795656371,11.42424241,"male","disagree",3.0936988225,9.6099493905,-6.516250568,"male","male"
"409","GSE14333","GSE14333_Biomat_18","female",3.632513008,3.433492375,2.273365786,1.970267163,1.114792749,5.015087546,6.63202781,9.220032526,"male","disagree",2.8534290805,7.926030168,-5.0726010875,"male","male"
