"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"altarA_A-1","stanley_altarA","altarA_A-1","male",3.428368488,5.038832653,7.06230853,9.207155482,"male","male",4.2336005705,8.134732006,-3.9011314355,"male","male"
"altarA_A-10","stanley_altarA","altarA_A-10","male",3.547209891,5.361141127,7.150025322,9.527134289,"male","male",4.454175509,8.3385798055,-3.8844042965,"male","male"
"altarA_A-100","stanley_altarA","altarA_A-100","female",7.500597489,10.65693655,5.770588445,6.726998756,"female","female",9.0787670195,6.2487936005,2.829973419,"female","female"
"altarA_A-101","stanley_altarA","altarA_A-101","male",3.747230345,5.861517048,8.28070339,9.480222435,"male","male",4.8043736965,8.8804629125,-4.076089216,"male","male"
"altarA_A-102","stanley_altarA","altarA_A-102","male",3.667277761,5.781474002,7.760893818,9.787204049,"male","male",4.7243758815,8.7740489335,-4.049673052,"male","male"
"altarA_A-103","stanley_altarA","altarA_A-103","male",3.813954063,5.897297218,7.607991966,9.163028014,"male","male",4.8556256405,8.38550999,-3.5298843495,"male","male"
"altarA_A-104","stanley_altarA","altarA_A-104","male",3.866835873,5.761432007,7.337235211,9.599894631,"male","male",4.81413394,8.468564921,-3.654430981,"male","male"
"altarA_A-105","stanley_altarA","altarA_A-105","female",7.692391865,10.5032498,5.857441836,6.804292083,"female","female",9.0978208325,6.3308669595,2.766953873,"female","female"
"altarA_A-11","stanley_altarA","altarA_A-11","male",3.424412038,5.059820375,7.128897573,10.01169684,"male","male",4.2421162065,8.5702972065,-4.328181,"male","male"
"altarA_A-12","stanley_altarA","altarA_A-12","male",3.613927945,5.151474484,7.204592734,9.247194705,"male","male",4.3827012145,8.2258937195,-3.843192505,"male","male"
"altarA_A-13","stanley_altarA","altarA_A-13","female",6.847565263,9.685346249,6.30636644,6.204888019,"female","female",8.266455756,6.2556272295,2.0108285265,"female","female"
"altarA_A-15","stanley_altarA","altarA_A-15","female",7.0209047,9.630630137,5.424859607,6.347710119,"female","female",8.3257674185,5.886284863,2.4394825555,"female","female"
"altarA_A-16","stanley_altarA","altarA_A-16","male",3.465290055,5.046353161,7.120772082,9.576272002,"male","male",4.255821608,8.348522042,-4.092700434,"male","male"
"altarA_A-17","stanley_altarA","altarA_A-17","female",6.981326589,9.535917663,5.41185227,6.638827988,"female","female",8.258622126,6.025340129,2.233281997,"female","female"
"altarA_A-18","stanley_altarA","altarA_A-18","male",3.454570767,5.039611463,7.405473447,9.413277662,"male","male",4.247091115,8.4093755545,-4.1622844395,"male","male"
"altarA_A-19","stanley_altarA","altarA_A-19","male",3.774204112,5.93512944,6.669235806,8.268730648,"male","male",4.854666776,7.468983227,-2.614316451,"male","male"
"altarA_A-2","stanley_altarA","altarA_A-2","male",3.594979799,5.049741699,6.885311303,9.245231556,"male","male",4.322360749,8.0652714295,-3.7429106805,"male","male"
"altarA_A-20","stanley_altarA","altarA_A-20","female",6.107024893,8.820308122,5.810245006,6.509792975,"female","female",7.4636665075,6.1600189905,1.303647517,"female","female"
"altarA_A-21","stanley_altarA","altarA_A-21","male",3.963144459,5.702673792,7.193093231,9.67667429,"male","male",4.8329091255,8.4348837605,-3.601974635,"male","male"
"altarA_A-22","stanley_altarA","altarA_A-22","male",3.465959956,5.004384269,7.216893163,9.495234905,"male","male",4.2351721125,8.356064034,-4.1208919215,"male","male"
"altarA_A-24","stanley_altarA","altarA_A-24","male",3.589961066,4.981016312,7.22524415,9.464497812,"male","male",4.285488689,8.344870981,-4.059382292,"male","male"
"altarA_A-25","stanley_altarA","altarA_A-25","male",3.625105985,5.153389932,7.210973403,9.223204048,"male","male",4.3892479585,8.2170887255,-3.827840767,"male","male"
