"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","XIST_224588_at_1147332","XIST_224589_at_1147331","XIST_224590_at_1147330","XIST_227671_at_1144254","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"1","GSE10760","GSE10760_Biomat_1","male",8.185453675,2.004940707,2.595499227,3.80989114,3.02458983,2.073969246,10.45637431,14.28166419,"male","male",2.8100445285,12.36901925,-9.5589747215,"male","male"
"2","GSE10760","GSE10760_Biomat_10","male",6.399339316,1.955623726,2.505623397,3.646094573,2.957630391,1.977583499,10.62059104,14.57464728,"male","male",2.731626894,12.59761916,-9.865992266,"male","male"
"3","GSE10760","GSE10760_Biomat_11","male",5.636488221,1.919755241,2.570415482,3.721172438,3.252255674,2.200806719,10.47627835,14.28391137,"male","male",2.911335578,12.38009486,-9.468759282,"male","male"
"4","GSE10760","GSE10760_Biomat_12","male",6.101562712,1.947397434,2.536159004,3.656198353,3.207461451,1.995010163,10.18866018,14.40421908,"male","male",2.8718102275,12.29643963,-9.4246294025,"male","male"
"5","GSE10760","GSE10760_Biomat_13","male",6.017032656,1.952952452,2.504086757,3.560837717,2.966984736,1.972212581,10.92826705,14.48031537,"male","male",2.7355357465,12.70429121,-9.9687554635,"male","male"
"6","GSE10760","GSE10760_Biomat_14","male",5.604213717,1.909697247,2.53857942,3.640620012,3.191592372,1.992512439,10.47484926,14.53187708,"male","male",2.865085896,12.50336317,-9.638277274,"male","male"
"7","GSE10760","GSE10760_Biomat_15","male",7.416513908,1.927798563,2.477525092,3.517211112,3.141924957,1.93324082,11.35661993,14.46413769,"male","male",2.8097250245,12.91037881,-10.1006537855,"male","male"
"8","GSE10760","GSE10760_Biomat_16","female",12.71846388,12.5275092,14.44577535,9.929130676,10.65020129,13.87879586,6.427827689,2.797257651,"female","female",12.62298654,4.61254267,8.01044387,"female","female"
"9","GSE10760","GSE10760_Biomat_17","female",13.10028704,12.41836782,14.42137464,9.79326364,10.41527284,13.41595047,3.493676088,2.692092331,"female","female",12.75932743,3.0928842095,9.6664432205,"female","female"
"10","GSE10760","GSE10760_Biomat_18","female",12.93141319,12.47636332,14.67270447,7.652190642,9.346407178,14.0060937,3.51236741,2.721564882,"female","female",12.703888255,3.116966146,9.586922109,"female","female"
"11","GSE10760","GSE10760_Biomat_19","female",13.57839853,12.70837399,14.77726054,7.981968208,10.91359564,14.45712447,3.940258976,2.717838642,"female","female",13.14338626,3.329048809,9.814337451,"female","female"
"12","GSE10760","GSE10760_Biomat_2","male",6.239782902,1.949200693,2.662995737,4.004434973,3.29867102,2.128937861,10.7142469,14.50749537,"male","male",2.9808333785,12.610871135,-9.6300377565,"male","male"
"13","GSE10760","GSE10760_Biomat_20","female",12.94912078,12.78104071,15.10103779,7.981286486,11.39791843,14.53851856,3.939184925,3.049521057,"female","female",12.865080745,3.494352991,9.370727754,"female","female"
"14","GSE10760","GSE10760_Biomat_21","female",13.99933688,13.47673097,15.2665465,11.46359558,11.08351522,14.60642663,3.49374297,3.356931575,"female","female",13.738033925,3.4253372725,10.3126966525,"female","female"
"15","GSE10760","GSE10760_Biomat_22","female",13.44894049,13.16809222,15.20893749,10.05135275,11.43892898,14.33527783,3.204474117,2.742742538,"female","female",13.308516355,2.9736083275,10.3349080275,"female","female"
"16","GSE10760","GSE10760_Biomat_23","female",12.66103044,13.11996753,14.96247494,3.632395257,9.689414302,13.08783262,3.852509472,3.538874728,"female","female",12.87443153,3.6956921,9.17873943,"female","female"
"17","GSE10760","GSE10760_Biomat_24","female",12.58785337,12.96191965,14.86202767,3.67610698,10.15102577,12.10387818,3.520525404,3.515802956,"female","female",12.345865775,3.51816418,8.827701595,"female","female"
"18","GSE10760","GSE10760_Biomat_25","female",12.66603978,13.54845211,15.27951632,3.441963198,9.56980804,12.7018643,3.948565493,2.734542131,"female","female",12.68395204,3.341553812,9.342398228,"female","female"
"19","GSE10760","GSE10760_Biomat_26","female",12.9382033,13.17097814,14.66144533,3.626725447,9.246733121,11.98536586,3.507347977,2.755994486,"female","female",12.46178458,3.1316712315,9.3301133485,"female","female"
"20","GSE10760","GSE10760_Biomat_27","female",13.4426487,13.17788961,14.72870147,4.203790118,10.95681839,14.13723747,2.769243409,3.541014113,"female","female",13.310269155,3.155128761,10.155140394,"female","female"
"21","GSE10760","GSE10760_Biomat_28","female",13.6136828,13.21907359,15.15432593,7.858855677,11.51584055,14.25487528,3.490412334,3.162785398,"female","female",13.416378195,3.326598866,10.089779329,"female","female"
"22","GSE10760","GSE10760_Biomat_29","female",13.33396551,13.78197233,15.28746413,8.366064306,11.4761485,14.69251316,2.683094587,3.324397404,"female","female",13.55796892,3.0037459955,10.5542229245,"female","female"
"23","GSE10760","GSE10760_Biomat_3","male",6.791271841,1.98226245,2.638497887,3.905975808,3.024987427,2.105876955,10.85987355,14.71367648,"male","male",2.831742657,12.786775015,-9.955032358,"male","male"
"24","GSE10760","GSE10760_Biomat_30","female",13.78495997,13.37676936,15.30881086,11.71992994,11.13543632,14.83754125,3.863926901,2.656751608,"female","female",13.580864665,3.2603392545,10.3205254105,"female","female"
"25","GSE10760","GSE10760_Biomat_31","male",7.974984827,1.926732232,2.51963466,3.577023235,3.192547044,2.126243527,10.77250307,13.97390364,"male","male",2.856090852,12.373203355,-9.517112503,"male","male"
"26","GSE10760","GSE10760_Biomat_32","male",7.368778075,1.940928009,2.521396044,3.591042634,3.195211155,1.980780387,11.00023587,14.18481877,"male","male",2.8583035995,12.59252732,-9.7342237205,"male","male"
"27","GSE10760","GSE10760_Biomat_33","male",5.684188,1.934805098,2.493553267,3.558261023,3.161191982,1.960678625,11.21587825,14.30782492,"male","male",2.8273726245,12.761851585,-9.9344789605,"male","male"
"28","GSE10760","GSE10760_Biomat_34","male",8.143269296,1.942603718,2.556726464,3.646549803,2.998920665,2.193170752,11.6836723,13.96601073,"male","male",2.7778235645,12.824841515,-10.0470179505,"male","male"
"29","GSE10760","GSE10760_Biomat_35","male",8.176738356,1.95165229,2.527351731,3.579196274,3.190261078,1.988183498,11.12845279,14.17990812,"male","male",2.8588064045,12.654180455,-9.7953740505,"male","male"
