"","dataset","sampleID","G.check","XIST_214218_s_at_8687","XIST_221728_x_at_1196","KDM5D_206700_s_at_16058","RPS4Y1_201909_at_20847","G.kmean","KMvsGEO","medianFemale","medianMale","medianF_M","G.medianF_M","Kmean.Median"
"138","stanley_altarC","altarC_C-59","female",3.175928504,4.238776228,5.965560208,8.309654641,"male","disagree",3.707352366,7.1376074245,-3.4302550585,"male","male"
"387","GSE10867","GSE10867_Biomat_18","male",6.88951832184417,7.60104238706079,2.18262016096072,3.82587052828194,"female","disagree",7.24528035445248,3.00424534462133,4.24103500983115,"female","female"
"421","GSE14795","GSE14795_Biomat_1","male",10.5745095965398,10.9920789955192,4.49735581089114,5.81545648261437,"female","disagree",10.7832942960295,5.15640614675275,5.62688814927673,"female","female"
"567","GSE20168","GSE20168_Biomat_4","male",11.6442796460533,12.534762099268,7.95310435672019,5.8400510200003,"female","disagree",12.0895208726606,6.89657768836024,5.19294318430038,"female","female"
"597","GSE20295","GSE20295_Biomat_31","male",7.40582403520611,8.72355063132086,6.57454804494142,8.32826730430668,"female","disagree",8.06468733326349,7.45140767462405,0.613279658639435,"female","female"
"634","GSE20295","GSE20295_Biomat_85","male",8.30661864714289,9.48366703041341,6.60234829404754,7.52867982779106,"female","disagree",8.89514283877815,7.0655140609193,1.82962877785885,"female","female"
"659","GSE22688","GSE22688_Biomat_22","male",7.09265973684211,8.08942078947369,4.58044236842105,5.96882894736842,"female","disagree",7.5910402631579,5.27463565789474,2.31640460526317,"female","female"
"775","GSE5389","GSE5389_bioMaterial_12|GSM123247","female",3.00331095238095,4.59656428571428,6.89907714285714,8.94736476190476,"male","disagree",3.79993761904761,7.92322095238095,-4.12328333333333,"male","male"
"782","GSE5389","GSE5389_bioMaterial_19|GSM123246","female",3.11188571428571,4.58032619047619,7.57962476190476,9.15954380952381,"male","disagree",3.84610595238095,8.36958428571429,-4.52347833333334,"male","male"
"792","GSE5389","GSE5389_bioMaterial_8|GSM123260","female",3.24322095238095,4.32857571428571,7.72859761904762,9.30618285714286,"male","disagree",3.78589833333333,8.51739023809524,-4.73149190476191,"male","male"
"805","GSE5390","GSE5390_bioMaterial_6","male",7.91475628273333,9.93262412926667,5.1611758822,9.4910246282,"female","disagree",8.923690206,7.3261002552,1.5975899508,"female","female"
"890","GSE7638","GSE7638_bioMaterial_135","male",7.20888839678125,7.00353048735938,3.26579132316875,4.03706219134375,"female","disagree",7.10620944207031,3.65142675725625,3.45478268481406,"female","female"
"900","GSE7638","GSE7638_bioMaterial_144","male",7.80102789905625,7.99594595886875,3.772634114025,4.3993645846,"female","disagree",7.8984869289625,4.0859993493125,3.81248757965,"female","female"
"931","GSE7638","GSE7638_bioMaterial_28","male",7.31218050294375,6.903503784025,3.39912515485625,5.38426316894375,"female","disagree",7.10784214348438,4.3916941619,2.71614798158437,"female","female"
"937","GSE7638","GSE7638_bioMaterial_33","male",7.2154973978625,7.22528034076251,3.50980610514063,4.4520740422875,"female","disagree",7.22038886931251,3.98094007371407,3.23944879559844,"female","female"
"999","GSE7638","GSE7638_bioMaterial_9","male",7.1773654526875,7.37847011261562,3.42862511938125,4.5469355654625,"female","disagree",7.27791778265156,3.98778034242188,3.29013744022968,"female","female"
"1050","GSE8970","GSE8970_bioMaterial_27","female",4.16107941176471,4.75076382352941,9.08450029411765,10.6566955882353,"male","disagree",4.45592161764706,9.87059794117647,-5.41467632352941,"male","male"
"1055","GSE8970","GSE8970_bioMaterial_32","male",10.3918891176471,12.2939908823529,9.19958823529412,8.63318235294118,"female","disagree",11.34294,8.91638529411765,2.42655470588235,"female","female"
"1194","McLean_PFC","pfc_1029_01 on Affymetrix GeneChip Human Genome U133 Array Set HG-U133A","female",3.54156149655501,4.9665742942003,7.76376600277426,9.57683301974816,"male","disagree",4.25406789537766,8.67029951126121,-4.41623161588355,"male","male"
